timestamps,TP9,AF7,AF8,TP10,Right AUX
1627808620.429,-6.836,-12.207,-11.719,-5.371,0.000
1627808620.433,-56.641,-15.137,-13.184,-51.270,0.000
1627808620.437,-64.453,-18.066,-14.160,-77.148,0.000
1627808620.441,-21.973,-16.602,-12.207,-37.109,0.000
1627808620.445,-1.953,-12.207,-8.301,-0.488,0.000
1627808620.449,-53.711,-21.973,-13.672,-39.062,0.000
1627808620.453,-85.449,-26.855,-18.555,-82.031,0.000
1627808620.457,-41.016,-16.113,-13.672,-53.711,0.000
1627808620.460,-6.348,-9.277,-13.672,-7.812,0.000
1627808620.464,-33.691,-13.672,-17.578,-25.391,0.000
1627808620.468,-73.242,-18.555,-18.066,-80.078,0.000
1627808620.472,-48.340,-13.672,-18.555,-72.754,0.000
1627808620.476,0.000,-11.230,-12.695,-13.672,0.000
1627808620.480,-18.066,-21.973,-11.719,-9.766,0.000
1627808620.484,-68.848,-19.531,-12.207,-62.988,0.000
1627808620.488,-68.359,-14.648,-12.207,-82.031,0.000
1627808620.492,-15.625,-19.531,-8.301,-30.273,0.000
1627808620.496,-13.672,-16.602,-6.836,-4.395,0.000
1627808620.499,-69.336,-21.973,-11.230,-50.293,0.000
1627808620.503,-82.031,-20.020,-12.695,-84.961,0.000
1627808620.507,-37.109,-17.578,-14.648,-50.293,0.000
1627808620.511,-21.973,-20.508,-16.113,-13.184,0.000
1627808620.515,-58.594,-20.508,-13.672,-33.203,0.000
1627808620.519,-83.984,-24.414,-13.184,-71.289,0.000
1627808620.523,-53.223,-21.973,-10.742,-49.805,0.000
1627808620.527,-17.578,-22.461,-9.766,-2.441,0.000
1627808620.531,-51.270,-30.762,-18.066,-20.508,0.000
1627808620.535,-95.703,-32.715,-20.020,-73.730,0.000
1627808620.539,-71.777,-28.320,-16.113,-67.383,0.000
1627808620.542,-21.973,-31.738,-15.137,-13.672,0.000
1627808620.546,-27.344,-32.227,-10.254,0.000,0.000
1627808620.550,-74.707,-34.668,-15.137,-49.805,0.000
1627808620.554,-75.195,-29.297,-19.531,-73.242,0.000
1627808620.558,-28.320,-13.184,-15.137,-27.832,0.000
1627808620.562,-17.090,-23.438,-11.719,1.465,0.000
1627808620.566,-62.988,-35.156,-14.160,-39.062,0.000
1627808620.570,-87.891,-33.691,-15.625,-79.102,0.000
1627808620.574,-49.316,-36.133,-17.090,-53.711,0.000
1627808620.578,-19.531,-32.715,-16.602,-8.789,0.000
1627808620.582,-51.758,-29.785,-14.160,-23.926,0.000
1627808620.585,-82.520,-30.762,-11.230,-64.453,0.000
1627808620.589,-52.246,-35.156,-10.742,-51.758,0.000
1627808620.593,-12.695,-31.738,-6.836,-4.395,0.000
1627808620.597,-35.156,-29.297,-6.348,-8.789,0.000
1627808620.601,-81.543,-27.832,-12.695,-63.477,0.000
1627808620.605,-57.129,-24.414,-7.812,-61.523,0.000
1627808620.609,0.000,-15.137,0.977,-5.859,0.000
1627808620.613,-13.184,-14.160,-3.906,-2.441,0.000
1627808620.617,-64.941,-20.996,-14.160,-57.617,0.000
1627808620.621,-68.848,-23.926,-12.695,-81.543,0.000
1627808620.624,-19.531,-20.508,-1.953,-34.180,0.000
1627808620.628,-1.953,-19.043,-1.953,-0.977,0.000
1627808620.632,-46.875,-21.973,-6.836,-41.992,0.000
1627808620.636,-65.918,-18.555,-8.789,-76.660,0.000
1627808620.640,-21.484,-20.020,-6.348,-42.969,0.000
1627808620.644,4.883,-11.719,-1.953,3.418,0.000
1627808620.648,-30.762,-10.254,-2.930,-13.672,0.000
1627808620.652,-68.359,-25.391,-10.742,-63.965,0.000
1627808620.656,-41.992,-18.066,-13.672,-54.199,0.000
1627808620.660,0.977,-8.301,-13.672,-4.883,0.000
1627808620.664,-16.602,-12.695,-16.113,-8.789,0.000
1627808620.667,-54.199,-14.160,-17.578,-60.059,0.000
1627808620.671,-39.062,-9.277,-14.160,-63.965,0.000
1627808620.675,15.625,-5.371,-8.301,-9.766,0.000
1627808620.679,18.555,-2.441,-15.137,8.789,0.000
1627808620.683,-34.180,-11.719,-23.926,-34.180,0.000
1627808620.687,-48.828,-20.020,-17.578,-64.453,0.000
1627808620.691,-5.371,-14.160,-8.301,-27.344,0.000
1627808620.695,15.137,-5.859,-6.348,13.184,0.000
1627808620.699,-28.320,-19.531,-15.137,-23.438,0.000
1627808620.703,-58.105,-28.320,-17.578,-69.824,0.000
1627808620.707,-22.461,-17.090,-16.113,-43.457,0.000
1627808620.710,6.836,-15.137,-18.066,3.906,0.000
1627808620.714,-24.902,-7.812,-20.996,-14.160,0.000
1627808620.718,-64.453,-4.395,-28.809,-63.477,0.000
1627808620.722,-38.574,-18.555,-24.414,-49.316,0.000
1627808620.726,13.184,-10.254,-14.160,12.695,0.000
1627808620.730,6.348,-5.859,-13.184,23.926,0.000
1627808620.734,-45.898,-16.113,-20.508,-30.762,0.000
1627808620.738,-50.781,-20.996,-20.996,-54.688,0.000
1627808620.742,-3.906,-19.531,-13.184,-13.184,0.000
1627808620.746,-4.395,-22.949,-13.184,5.371,0.000
1627808620.750,-55.176,-27.832,-16.113,-37.598,0.000
1627808620.753,-70.312,-23.926,-14.160,-72.266,0.000
1627808620.757,-26.367,-20.020,-9.277,-36.133,0.000
1627808620.761,-4.395,-24.902,-11.230,-3.906,0.000
1627808620.765,-44.922,-28.809,-18.555,-35.645,0.000
1627808620.769,-79.102,-26.367,-18.555,-81.055,0.000
1627808620.773,-55.176,-17.578,-16.113,-64.941,0.000
1627808620.777,-12.207,-13.184,-11.719,-4.883,0.000
1627808620.781,-28.320,-14.648,-7.812,-9.277,0.000
1627808620.785,-72.266,-20.020,-15.625,-63.477,0.000
1627808620.789,-51.758,-27.832,-16.113,-60.059,0.000
1627808620.792,-5.859,-18.066,-11.230,-8.789,0.000
1627808620.796,-16.113,-16.602,-15.625,-0.488,0.000
1627808620.800,-52.246,-13.672,-17.578,-45.410,0.000
1627808620.804,-50.781,-16.602,-14.648,-60.547,0.000
1627808620.808,-12.695,-20.996,-14.160,-25.391,0.000
1627808620.812,-5.371,-18.555,-14.160,0.000,0.000
1627808620.816,-42.480,-20.996,-20.020,-36.133,0.000
1627808620.820,-54.199,-19.531,-17.578,-71.289,0.000
1627808620.824,-18.066,-14.648,-15.137,-40.527,0.000
