timestamps,TP9,AF7,AF8,TP10,Right AUX
1627808098.839,8.301,-0.488,-18.555,12.207,0.000
1627808098.843,-0.977,0.000,-9.277,6.348,0.000
1627808098.847,-40.039,-8.789,-13.184,-42.969,0.000
1627808098.851,-36.133,-20.996,-17.090,-45.898,0.000
1627808098.855,-1.465,-20.996,-11.719,-0.977,0.000
1627808098.859,0.977,-13.184,-13.672,6.836,0.000
1627808098.863,-33.691,-18.066,-20.996,-41.992,0.000
1627808098.866,-44.434,-16.602,-20.020,-61.035,0.000
1627808098.870,-11.230,-14.648,-15.625,-14.160,0.000
1627808098.874,12.207,-11.230,-11.230,19.043,0.000
1627808098.878,-15.625,-5.371,-10.742,-15.137,0.000
1627808098.882,-43.457,-9.766,-12.695,-50.293,0.000
1627808098.886,-19.043,-9.766,-11.230,-23.438,0.000
1627808098.890,14.648,-7.812,-10.742,19.043,0.000
1627808098.894,-5.859,-18.555,-16.602,-3.418,0.000
1627808098.898,-42.969,-23.926,-20.020,-47.852,0.000
1627808098.902,-28.320,-16.602,-19.043,-33.691,0.000
1627808098.906,11.719,-10.254,-16.113,10.742,0.000
1627808098.909,4.395,-10.742,-18.066,5.859,0.000
1627808098.913,-33.691,-12.695,-20.020,-35.156,0.000
1627808098.917,-31.738,-17.090,-17.090,-39.062,0.000
1627808098.921,8.789,-16.113,-13.672,7.324,0.000
1627808098.925,9.277,-16.602,-9.277,25.879,0.000
1627808098.929,-27.832,-13.184,-10.742,-15.137,0.000
1627808098.933,-36.133,-12.695,-14.648,-44.922,0.000
1627808098.937,-4.395,-9.277,-10.742,-13.184,0.000
1627808098.941,6.836,-6.836,-9.277,18.066,0.000
1627808098.945,-23.926,-13.672,-14.648,-9.277,0.000
1627808098.949,-47.852,-18.066,-14.648,-51.270,0.000
1627808098.952,-20.020,-10.742,-6.836,-26.855,0.000
1627808098.956,9.277,-7.812,-1.465,20.508,0.000
1627808098.960,-11.719,-15.137,-6.836,-1.953,0.000
1627808098.964,-45.410,-17.578,-14.648,-46.387,0.000
1627808098.968,-41.504,-16.602,-17.090,-41.992,0.000
1627808098.972,-7.812,-16.602,-14.648,3.418,0.000
1627808098.976,-2.930,-16.602,-14.648,14.648,0.000
1627808098.980,-38.086,-26.367,-20.020,-32.227,0.000
1627808098.984,-49.805,-28.809,-18.555,-49.805,0.000
1627808098.988,-9.277,-24.902,-16.602,-9.766,0.000
1627808098.991,4.395,-20.996,-19.043,9.277,0.000
1627808098.995,-30.762,-20.996,-23.926,-27.344,0.000
1627808098.999,-55.664,-21.973,-27.344,-56.641,0.000
1627808099.003,-26.855,-24.414,-25.879,-26.855,0.000
1627808099.007,-0.488,-26.367,-20.996,9.277,0.000
1627808099.011,-19.531,-23.926,-21.484,-13.672,0.000
1627808099.015,-43.945,-26.855,-23.926,-52.734,0.000
1627808099.019,-22.461,-25.879,-18.555,-32.715,0.000
1627808099.023,15.625,-12.207,-10.742,17.578,0.000
1627808099.027,-1.465,-17.578,-15.137,3.418,0.000
1627808099.031,-37.598,-32.715,-23.438,-48.828,0.000
1627808099.034,-27.344,-29.785,-22.461,-45.410,0.000
1627808099.038,5.859,-24.414,-19.043,4.883,0.000
1627808099.042,5.859,-21.973,-15.625,12.207,0.000
1627808099.046,-26.367,-18.555,-15.625,-28.809,0.000
1627808099.050,-33.691,-19.043,-17.090,-45.898,0.000
1627808099.054,0.000,-16.113,-17.578,-9.277,0.000
1627808099.058,14.160,-12.695,-17.578,13.184,0.000
1627808099.062,-16.113,-13.672,-17.578,-23.438,0.000
1627808099.066,-40.527,-14.648,-19.043,-57.617,0.000
1627808099.070,-11.230,-8.301,-16.113,-23.926,0.000
1627808099.074,20.508,-8.789,-10.254,19.531,0.000
1627808099.077,-6.348,-20.996,-13.184,-4.883,0.000
1627808099.081,-42.969,-20.508,-21.484,-46.875,0.000
1627808099.085,-30.762,-17.090,-21.484,-29.297,0.000
1627808099.089,-3.906,-23.438,-18.555,10.742,0.000
1627808099.093,-12.695,-23.926,-20.996,0.000,0.000
1627808099.097,-41.992,-20.996,-21.484,-34.180,0.000
1627808099.101,-31.738,-17.578,-16.113,-32.227,0.000
1627808099.105,-2.930,-20.020,-13.184,9.277,0.000
1627808099.109,-2.930,-18.066,-16.113,21.973,0.000
1627808099.113,-28.320,-17.578,-24.902,-20.996,0.000
1627808099.116,-38.086,-18.066,-24.902,-39.551,0.000
1627808099.120,-4.395,-15.137,-17.090,3.906,0.000
1627808099.124,18.555,-13.672,-12.695,31.738,0.000
1627808099.128,-4.395,-10.254,-17.090,-3.418,0.000
1627808099.132,-32.715,-16.113,-21.484,-44.434,0.000
1627808099.136,-17.090,-24.414,-17.578,-21.484,0.000
1627808099.140,9.277,-18.555,-15.625,23.438,0.000
1627808099.144,-13.184,-22.949,-17.578,3.418,0.000
1627808099.148,-43.457,-27.832,-19.043,-45.410,0.000
1627808099.152,-29.785,-24.902,-19.531,-31.738,0.000
1627808099.156,4.395,-20.508,-17.090,15.625,0.000
1627808099.159,-1.953,-14.160,-16.113,8.301,0.000
1627808099.163,-30.762,-12.207,-20.508,-37.109,0.000
1627808099.167,-32.715,-22.461,-26.855,-44.922,0.000
1627808099.171,-1.953,-27.344,-24.414,-2.930,0.000
1627808099.175,8.301,-21.484,-17.578,13.672,0.000
1627808099.179,-28.809,-27.832,-22.949,-27.832,0.000
1627808099.183,-49.805,-37.109,-26.367,-52.734,0.000
1627808099.187,-13.672,-29.785,-20.996,-15.137,0.000
1627808099.191,7.812,-21.484,-16.602,15.137,0.000
1627808099.195,-22.461,-27.344,-21.484,-15.137,0.000
1627808099.199,-48.340,-30.273,-24.902,-56.152,0.000
1627808099.202,-29.297,-26.367,-22.949,-37.598,0.000
1627808099.206,-4.395,-27.344,-18.066,3.418,0.000
1627808099.210,-19.043,-24.414,-16.113,-5.859,0.000
1627808099.214,-49.316,-30.762,-26.855,-51.758,0.000
1627808099.218,-42.969,-33.691,-27.832,-46.387,0.000
1627808099.222,-8.301,-24.902,-19.531,0.488,0.000
1627808099.226,-8.301,-27.832,-17.090,0.488,0.000
